Brand,Model,Processor,RAM_GB,Storage_GB,GPU,Screen_Size,Weight_kg,Launch_Year,Customer_Rating,Review_Count,Demand_Index,Competitor_Price,Price
Razer,Model_436,i5,16.0,1024.0,NVIDIA RTX 3070,17.3,1.73,2024,4.9,4372.0,94,1036.0,465.75
Razer,Model_437,i9,64.0,256.0,NVIDIA RTX 3060,14.0,1.33,2021,3.6,3398.0,57,2754.0,391.02
MSI,Model_438,Ryzen 7,64.0,2048.0,AMD Radeon RX 6600M,16.0,1.14,2018,3.4,3405.0,80,1425.0,483.75
Lenovo,Model_439,i5,8.0,128.0,NVIDIA RTX 3080,16.0,2.58,2024,2.6,1954.0,97,2967.0,300.0
Dell,Model_440,M1,16.0,2048.0,NVIDIA RTX 3070,14.0,2.29,2021,2.6,1903.0,70,2074.0,446.57
Razer,Model_441,M1,16.0,2048.0,NVIDIA RTX 3050,15.6,1.23,2023,4.2,3644.0,67,1139.0,300.0
Dell,Model_442,i3,32.0,256.0,AMD Radeon RX 6600M,15.6,1.2,2022,3.6,1662.0,40,1945.0,300.0
Razer,Model_443,i7,64.0,128.0,NVIDIA RTX 3050,17.3,1.52,2019,3.1,4151.0,73,868.0,300.0
Apple,Model_444,M2,4.0,256.0,NVIDIA RTX 3060,13.3,1.37,2018,4.0,3902.0,75,2659.0,505.57
Lenovo,Model_445,Ryzen 5,64.0,512.0,NVIDIA RTX 3080,15.6,1.61,2024,3.1,609.0,78,1535.0,391.14
Lenovo,Model_446,Ryzen 7,64.0,256.0,NVIDIA RTX 3080,13.3,2.39,2024,3.9,4825.0,91,1431.0,300.0
Acer,Model_447,i9,32.0,256.0,AMD Radeon RX 6600M,16.0,1.16,2020,3.4,1922.0,70,2924.0,300.0
MSI,Model_448,i5,4.0,256.0,NVIDIA RTX 3070,13.3,1.78,2022,4.6,1302.0,39,1273.0,300.0
Acer,Model_449,M1,32.0,128.0,NVIDIA RTX 3070,16.0,3.25,2019,4.6,610.0,78,859.0,300.0
Acer,Model_450,,,,,14.0,1.97,2021,,,90,,300.0
Acer,Model_451,Ryzen 5,8.0,128.0,NVIDIA RTX 3070,14.0,2.39,2019,3.4,4223.0,28,1949.0,354.87
Acer,Model_452,M2,4.0,1024.0,NVIDIA RTX 3080,17.3,1.33,2022,3.4,3647.0,20,1151.0,300.0
Acer,Model_453,i3,32.0,512.0,AMD Radeon RX 6600M,15.6,2.1,2022,4.5,2173.0,48,1861.0,458.1
Asus,Model_454,Ryzen 5,64.0,128.0,NVIDIA GTX 1650,17.3,1.52,2023,3.3,4365.0,82,2177.0,300.0
Lenovo,Model_455,Ryzen 7,4.0,1024.0,NVIDIA RTX 3080,16.0,2.29,2023,3.0,1108.0,91,1253.0,300.0
Acer,Model_456,Ryzen 5,4.0,128.0,NVIDIA RTX 3050,17.3,1.93,2019,2.7,375.0,75,2683.0,300.0
Razer,Model_457,Ryzen 7,16.0,128.0,NVIDIA RTX 3070,13.3,1.03,2021,3.7,2580.0,87,1729.0,300.0
Lenovo,Model_458,Ryzen 7,64.0,512.0,NVIDIA RTX 3080,16.0,1.72,2019,3.7,3429.0,54,877.0,300.0
Lenovo,Model_459,Ryzen 9,8.0,2048.0,NVIDIA RTX 3080,14.0,2.05,2022,4.6,2486.0,22,2663.0,371.36
HP,Model_460,i9,32.0,2048.0,AMD Radeon RX 6600M,15.6,1.31,2022,3.1,800.0,26,534.0,300.0
Asus,Model_461,M1,8.0,128.0,NVIDIA RTX 3070,16.0,2.81,2020,3.5,3579.0,46,1552.0,300.0
Acer,Model_462,Ryzen 9,64.0,256.0,NVIDIA GTX 1650,16.0,2.57,2023,4.5,756.0,20,809.0,305.18
Dell,Model_463,M2,4.0,1024.0,AMD Radeon RX 6600M,13.3,1.79,2020,4.6,322.0,99,1845.0,300.0
Apple,Model_464,Ryzen 9,4.0,256.0,NVIDIA GTX 1650,15.6,1.31,2018,3.5,4643.0,90,1717.0,300.0
MSI,Model_465,i7,64.0,256.0,AMD Radeon RX 6600M,14.0,1.65,2022,3.6,930.0,63,1669.0,401.53
Razer,Model_466,i7,4.0,128.0,NVIDIA RTX 3070,16.0,1.05,2020,3.3,1087.0,60,1979.0,360.93
Dell,Model_467,M1,4.0,128.0,Integrated,16.0,0.92,2019,4.8,2839.0,94,485.0,300.0
Asus,Model_468,Ryzen 5,4.0,128.0,NVIDIA RTX 3070,13.3,2.18,2023,2.8,2391.0,61,2265.0,393.39
Apple,Model_469,i9,32.0,128.0,NVIDIA RTX 3070,17.3,2.21,2023,4.8,3628.0,52,1869.0,351.19
Asus,Model_470,M1,32.0,2048.0,NVIDIA GTX 1650,14.0,1.13,2021,4.2,807.0,69,777.0,300.0
Razer,Model_471,Ryzen 7,16.0,128.0,NVIDIA GTX 1650,15.6,2.81,2019,3.8,4453.0,82,2080.0,373.15
Lenovo,Model_472,i5,8.0,2048.0,NVIDIA RTX 3070,16.0,2.2,2021,2.6,282.0,56,1474.0,315.83
Apple,Model_473,i9,64.0,2048.0,NVIDIA RTX 3070,16.0,1.67,2020,3.7,3020.0,78,641.0,300.0
Lenovo,Model_474,i9,64.0,128.0,NVIDIA RTX 3070,14.0,1.08,2024,3.5,4825.0,67,1319.0,300.0
Razer,Model_475,Ryzen 7,64.0,512.0,NVIDIA GTX 1650,17.3,1.71,2018,2.9,1783.0,24,1986.0,362.94
Dell,Model_476,Ryzen 7,16.0,1024.0,NVIDIA RTX 3070,16.0,2.32,2019,4.1,2557.0,67,2713.0,393.98
Razer,Model_477,i3,32.0,256.0,NVIDIA RTX 3070,14.0,1.6,2019,4.9,3174.0,22,1671.0,357.81
Dell,Model_478,M1,16.0,2048.0,NVIDIA RTX 3060,13.3,2.04,2019,3.9,4790.0,66,469.0,347.05
Apple,Model_479,Ryzen 7,64.0,1024.0,Integrated,17.3,2.01,2021,4.3,4727.0,81,2504.0,412.13
Apple,Model_480,i7,8.0,512.0,NVIDIA RTX 3050,15.6,0.96,2020,2.7,956.0,33,1805.0,300.0
Acer,Model_481,M2,4.0,256.0,Integrated,16.0,1.14,2019,3.5,2675.0,82,2486.0,300.0
Asus,Model_482,i5,32.0,256.0,NVIDIA RTX 3060,14.0,1.89,2024,2.8,516.0,80,2407.0,300.0
Acer,Model_483,M1,32.0,2048.0,NVIDIA RTX 3050,13.3,1.25,2019,4.0,253.0,50,1200.0,300.0
Asus,Model_484,i7,16.0,128.0,AMD Radeon RX 6600M,15.6,2.33,2023,4.8,515.0,36,1441.0,300.0
Acer,Model_485,Ryzen 5,32.0,512.0,NVIDIA RTX 3070,14.0,2.77,2018,4.2,4527.0,43,1224.0,414.68
Lenovo,Model_486,Ryzen 7,64.0,2048.0,NVIDIA RTX 3060,14.0,1.74,2023,2.7,3168.0,42,1155.0,350.25
Apple,Model_487,Ryzen 7,64.0,512.0,AMD Radeon RX 6600M,15.6,1.67,2023,3.4,3600.0,69,2799.0,407.75
Dell,Model_488,i9,16.0,128.0,NVIDIA RTX 3070,13.3,3.16,2018,3.9,1882.0,97,2395.0,396.08
Asus,Model_489,i7,64.0,128.0,NVIDIA GTX 1650,13.3,1.27,2024,3.5,3803.0,98,2239.0,407.34
Razer,Model_490,,,,,17.3,1.66,2020,,,98,,321.55
Asus,Model_491,,,,,16.0,1.61,2023,,,89,,300.0
Dell,Model_492,i9,8.0,1024.0,NVIDIA GTX 1650,15.6,1.08,2020,4.0,4755.0,46,2009.0,300.0
Acer,Model_493,i3,4.0,256.0,NVIDIA RTX 3060,15.6,1.82,2023,3.4,1474.0,34,509.0,300.0
Asus,Model_494,i3,8.0,2048.0,NVIDIA RTX 3060,15.6,1.7,2022,3.1,400.0,69,1416.0,300.0
MSI,Model_495,,,,,13.3,1.35,2018,,,55,,404.99
Lenovo,Model_496,Ryzen 5,4.0,1024.0,NVIDIA RTX 3050,16.0,1.21,2023,3.4,3387.0,27,2991.0,502.13
Apple,Model_497,i9,8.0,2048.0,Integrated,17.3,2.07,2022,3.5,4847.0,98,2169.0,306.46
Dell,Model_498,i7,16.0,128.0,NVIDIA RTX 3070,14.0,2.58,2021,4.2,4925.0,22,424.0,300.0
Apple,Model_499,i3,64.0,128.0,NVIDIA RTX 3060,14.0,2.73,2022,4.1,682.0,81,1242.0,310.71
